5685976,Whitcomb Peak,Whitcomb Peak,,47.98356,-113.35591,T,MT,US,,MT,029,,,0,2201,2191,America/Denver,"2006-01-15
"
5266381,Peace Church,Peace Church,,44.9158,-90.13402,S,CH,US,,WI,073,27150,,0,421,419,America/Chicago,"2017-05-23
"
5668359,Needle Rock,Needle Rock,,45.67659,-113.05754,T,MT,US,,MT,001,,,0,2020,1978,America/Denver,"2006-01-15
"
4937373,Frenchs Commons,Frenchs Commons,"French's Common,Frenchs Commons",42.20677,-71.00644,L,PRK,US,,MA,021,,,0,39,42,America/New_York,"2006-01-15
"
4913316,Temple Bnai Abraham Zion,Temple Bnai Abraham Zion,,41.90309,-87.80534,S,CH,US,,IL,031,54898,,0,191,197,America/Chicago,"2017-05-23
"
4988530,Chapel Beach Campground,Chapel Beach Campground,,46.54745,-86.44155,S,CMP,US,,MI,003,56220,,0,187,182,America/Detroit,"2017-05-23
"
5458573,Bosquesito Spring,Bosquesito Spring,,34.7259,-106.37916,H,SPNG,US,,NM,057,,,0,2268,2274,America/Denver,"2011-12-11
"
5465101,Divide Tank,Divide Tank,,34.01477,-108.40534,H,RSVT,US,,NM,003,,,0,2538,2547,America/Denver,"2006-01-15
"
4868225,Mount Pleasant Park (historical),Mount Pleasant Park (historical),,41.84753,-90.20596,L,PRK,US,,IA,045,,,0,198,209,America/Chicago,"2006-01-15
"
4813509,Maberry Run,Maberry Run,,39.09508,-81.12483,H,STM,US,,WV,085,,,0,206,212,America/New_York,"2006-01-15
"
4957302,Bangor Public Library,Bangor Public Library,"Bangor Public Library,Biblioteca Publica Bangor,Biblioteca Pública Bangor",44.8044,-68.77187,S,LIBR,US,,ME,019,02795,,0,13,15,America/New_York,"2017-05-23
"
4434053,Lone Star Baptist Church,Lone Star Baptist Church,,31.28851,-90.47177,S,CH,US,,MS,113,,,0,141,144,America/Chicago,"2010-02-16
"
7716594,Brier Community Church,Brier Community Church,,47.79239,-122.27478,S,CH,US,,WA,061,,,0,142,146,America/Los_Angeles,"2011-03-12
"
5440537,Strainland Pit,Strainland Pit,,39.65388,-105.1911,S,MN,US,,CO,059,,,0,1758,1764,America/Denver,"2006-01-15
"
5855564,Hanakāʻape,Hanaka'ape,"Hanaka'ape,Hanakaape,Hanakāʻape",21.8784,-159.4697,T,CAPE,US,,HI,007,,,0,5,7,Pacific/Honolulu,"2016-12-06
"
6349323,Farris Post Office (historical),Farris Post Office (historical),"Farris Post Office (historical),Graceland Post Office",47.37667,-94.7025,S,PO,US,,MN,057,20528,,0,415,413,America/Chicago,"2017-05-23
"
4912699,Rothrock Airport,Rothrock Airport,"Rothrock Airport,Rowe Aviation Airfield,Streator Airport",41.12731,-88.79801,S,AIRP,US,,IL,099,56965,,0,200,202,America/Chicago,"2017-05-23
"
4875787,Scott County Courthouse,Scott County Courthouse,,41.52392,-90.5793,S,BLDG,US,,IA,163,,,0,178,184,America/Chicago,"2006-01-15
"
4589261,Nichol Branch,Nichol Branch,,34.75957,-81.93149,H,STM,US,,SC,083,,,0,164,163,America/New_York,"2006-01-15
"
5195036,Iselin,Iselin,,40.55951,-79.38643,P,PPL,US,,PA,063,87160,,0,371,374,America/New_York,"2017-05-23
"
4874510,Saint Johns by the Campus Church,Saint Johns by the Campus Church,,42.02221,-93.648,S,CH,US,,IA,169,94566,,0,287,296,America/Chicago,"2017-05-23
"
6485951,Residence Inn By Marriott Boulder,Residence Inn By Marriott Boulder,,40.0298,-105.2466,S,HTL,US,,CO,013,,,0,,1614,America/Denver,"2007-04-12
"
4397145,Mark Twain School,Mark Twain School,,38.71168,-93.23659,S,SCH,US,,MO,159,66458,,0,266,270,America/Chicago,"2017-05-23
"
5059928,Kathryn Dam,Kathryn Dam,,46.67664,-97.94371,S,DAM,US,,ND,003,58780,,0,373,370,America/Chicago,"2017-05-23
"
4816647,Nighway Branch,Nighway Branch,,37.65316,-82.0254,H,STM,US,,WV,059,,,0,396,408,America/New_York,"2006-01-15
"
4350366,Capitol Raceway,Capitol Raceway,,39.03539,-76.70441,S,,US,,MD,003,,,0,43,42,America/New_York,"2010-02-19
"
4148846,Briarcliffe College,Briarcliffe College,,25.73316,-80.38061,S,SCH,US,,FL,086,,,0,1,11,America/New_York,"2006-01-15
"
4438035,Nebo Cemetery,Nebo Cemetery,,33.47457,-89.81564,S,CMTY,US,,MS,015,,,0,110,110,America/Chicago,"2010-02-16
"
4699673,Ice Point,Ice Point,,32.93512,-96.01469,T,CAPE,US,,TX,231,,,0,134,135,America/Chicago,"2006-01-15
"
5197388,Laurel Swamp,Laurel Swamp,,41.44598,-74.97237,H,SWMP,US,,PA,103,,,0,364,373,America/New_York,"2011-12-11
"
7181344,Okemo Mountain School,Okemo Mountain School,,43.39756,-72.68987,S,SCH,US,,VT,027,41275,,0,307,308,America/New_York,"2017-05-23
"
4249155,Saint Paul Lutheran Cemetery,Saint Paul Lutheran Cemetery,,39.10754,-88.37782,S,CMTY,US,,IL,049,66807,,0,183,183,America/Chicago,"2017-05-23
"
4294512,Henderson County,Henderson County,"Comitatul Henderson,Comte de Henderson,Comté de Henderson,Condado de Henderson,Condado han Henderson,Contea di Henderson,Genderson,Henderson,Henderson Kun,Henderson Kūn,Henderson konderria,Henderson megye,Henderson srjan,Hrabstwo Henderson,Khenderson,Khendersun,Okrug Khenderson,Quan Henderson,Quận Henderson,hendarasana ka'unti,hendason jun,heng de sen xian,mqatʿt hyndyrswn,shhrstan hndrswn  kntaky,Гендерсон,Округ Хендерсон,Хендерсон,Хендерсън,Հենդերսոն շրջան,شهرستان هندرسون، کنتاکی,مقاطعة هينديرسون,ہنڈرسن کاؤنٹی,ہینڈرسن کاؤنٹی، کینٹکی,হেন্ডারসন কাউন্টি,ヘンダーソン郡,亨德森縣",37.7959,-87.57316,A,ADM2,US,,KY,101,,,44793,113,118,America/Chicago,"2022-05-20
"
6505416,Country Inn Stes Manchester,COUNTRY INN STES MANCHESTER,,35.4607,-86.055,S,HTL,US,,TN,031,,,0,,327,America/Chicago,"2007-04-13
"
4791569,WKSV-FM (Cape Charles),WKSV-FM (Cape Charles),,37.26319,-76.01271,S,TOWR,US,,VA,131,,,0,3,3,America/New_York,"2006-01-15
"
7246532,Benjamin Volunteer Fire Department,Benjamin Volunteer Fire Department,,33.5826,-99.79284,S,BLDG,US,,TX,275,,,0,450,452,America/Chicago,"2010-02-07
"
5458202,Bluewater Cemetery,Bluewater Cemetery,,35.24309,-107.96923,S,CMTY,US,,NM,006,,,0,2024,2025,America/Denver,"2006-01-15
"
5122806,Johnson Falls,Johnson Falls,,42.72728,-78.45419,H,OVF,US,,NY,121,,,0,351,383,America/New_York,"2006-01-15
"
4725319,Saint Martins School,Saint Martins School,,27.7567,-97.45499,S,SCH,US,,TX,355,,,0,12,15,America/Chicago,"2006-01-15
"
5714289,Binford Reservoir,Binford Reservoir,,45.48306,-122.46066,H,RSV,US,,OR,051,,,0,97,100,America/Los_Angeles,"2011-12-11
"
5305634,Mothers Canyon,Mothers Canyon,,32.57896,-109.88619,T,VAL,US,,AZ,009,,,0,1522,1524,America/Phoenix,"2006-01-15
"
5298790,Horseshoe Spring,Horseshoe Spring,,34.15752,-109.17772,H,SPNG,US,,AZ,001,,,0,2190,2190,America/Phoenix,"2011-12-11
"
